Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,19.03
2022060101,0.0,18.66
2022060102,0.0,17.57
2022060103,0.0,16.48
2022060104,5.78,15.74
2022060105,43.03,15.17
2022060106,81.1,14.92
2022060107,120.35,15.07
2022060108,277.0,15.35
2022060109,489.92,15.5
2022060110,445.85,15.91
2022060111,299.38,16.35
2022060112,382.62,16.88
2022060113,364.15,17.21
2022060114,513.83,17.07
2022060115,448.2,16.82
2022060116,306.75,16.6
2022060117,159.93,15.67
2022060118,49.28,14.04
2022060119,0.0,12.65
2022060120,0.0,12.04
2022060121,0.0,11.97
2022060122,0.0,12.06
2022060123,0.0,12.22
2022060200,0.0,12.35
2022060201,0.0,12.54
2022060202,0.0,12.4
2022060203,0.0,12.23
2022060204,6.85,12.25
2022060205,90.45,12.97
2022060206,244.57,13.69
2022060207,417.38,15.09
2022060208,604.75,16.45
2022060209,800.35,17.33
2022060210,896.62,17.84
2022060211,927.35,18.19
2022060212,930.15,18.5
2022060213,853.45,18.75
2022060214,738.8,18.93
2022060215,601.53,19.09
2022060216,419.7,19.17
2022060217,241.0,19.48
2022060218,76.35,19.32
2022060219,0.0,19.21
2022060220,0.0,18.44
2022060221,0.0,17.0
2022060222,0.0,15.82
2022060223,0.0,15.32
2022060300,0.0,15.1
2022060301,0.0,14.81
2022060302,0.0,14.77
2022060303,0.0,14.41
2022060304,13.05,13.95
2022060305,141.27,14.04
2022060306,330.17,14.76
2022060307,523.05,16.1
2022060308,698.6,17.98
2022060309,841.9,19.2
2022060310,940.8,19.84
2022060311,980.0,20.24
2022060312,943.25,20.48
2022060313,880.2,20.56
2022060314,769.75,20.51
2022060315,620.8,20.32
2022060316,447.4,19.99
2022060317,256.98,19.36
2022060318,85.72,18.22
2022060319,0.0,16.97
2022060320,0.0,16.4
2022060321,0.0,15.85
2022060322,0.0,15.28
2022060323,0.0,14.76
2022060400,0.0,14.29
2022060401,0.0,13.95
2022060402,0.0,13.68
2022060403,0.0,13.6
2022060404,11.85,13.81
2022060405,95.47,14.56
2022060406,217.8,15.04
2022060407,335.45,16.02
2022060408,388.98,17.55
2022060409,519.65,17.7
2022060410,572.03,17.43
2022060411,450.5,17.1
2022060412,350.1,16.7
2022060413,428.42,16.29
2022060414,256.75,16.03
2022060415,220.45,15.87
2022060416,125.15,15.41
2022060417,53.05,14.43
2022060418,21.48,13.9
2022060419,0.0,14.01
2022060420,0.0,14.19
2022060421,0.0,14.28
2022060422,0.0,14.36
2022060423,0.0,14.47
2022060500,0.0,14.58
2022060501,0.0,14.58
2022060502,0.0,14.4
2022060503,0.0,14.24
2022060504,8.0,14.32
2022060505,79.88,15.05
2022060506,197.93,15.56
2022060507,327.17,16.21
2022060508,512.03,17.3
2022060509,670.53,18.14
2022060510,749.2,18.76
2022060511,648.83,19.7
2022060512,688.17,20.76
2022060513,475.58,21.02
2022060514,452.6,19.81
2022060515,301.6,18.41
2022060516,200.02,17.26
2022060517,101.88,16.37
2022060518,30.23,15.45
2022060519,0.0,15.11
2022060520,0.0,15.39
2022060521,0.0,15.95
2022060522,0.0,16.74
2022060523,0.0,16.79
2022060600,0.0,16.85
2022060601,0.0,16.97
2022060602,0.0,17.06
2022060603,0.0,16.83
2022060604,5.5,16.46
2022060605,37.58,16.38
2022060606,72.03,16.44
2022060607,102.75,16.75
2022060608,66.03,17.26
2022060609,140.35,17.3
2022060610,189.43,17.38
2022060611,206.25,18.11
2022060612,348.55,19.36
2022060613,576.53,20.28
2022060614,586.67,20.88
2022060615,414.85,21.01
2022060616,278.25,20.96
2022060617,156.12,19.76
2022060618,49.25,17.37
2022060619,0.0,14.93
2022060620,0.0,13.01
2022060621,0.0,12.56
2022060622,0.0,12.52
2022060623,0.0,12.57
2022060700,0.0,12.59
2022060701,0.0,12.49
2022060702,0.0,12.47
2022060703,0.0,12.53
2022060704,8.2,12.52
2022060705,59.53,12.51
2022060706,133.27,12.85
2022060707,181.77,13.32
2022060708,370.2,13.52
2022060709,398.85,13.63
2022060710,631.28,13.97
2022060711,823.35,14.45
2022060712,934.8,14.86
2022060713,848.12,15.32
2022060714,739.45,16.04
2022060715,601.17,16.89
2022060716,426.62,17.35
2022060717,244.18,17.3
2022060718,83.18,16.25
2022060719,0.0,14.8
2022060720,0.0,14.3
2022060721,0.0,14.13
2022060722,0.0,14.11
2022060723,0.0,14.0
2022060800,0.0,13.85
2022060801,0.0,13.87
2022060802,0.0,13.75
2022060803,0.0,13.8
2022060804,10.2,13.92
2022060805,77.85,14.1
2022060806,141.1,14.35
2022060807,287.88,14.59
2022060808,436.5,14.91
2022060809,239.18,15.66
2022060810,282.67,15.56
2022060811,322.08,15.18
2022060812,90.22,15.1
2022060813,43.7,14.93
2022060814,303.12,14.68
2022060815,513.0,14.67
2022060816,348.48,14.73
2022060817,188.7,14.59
2022060818,57.4,14.18
2022060819,0.0,13.39
2022060820,0.0,12.93
2022060821,0.0,12.8
2022060822,0.0,12.59
2022060823,0.0,12.4
2022060900,0.0,12.16
2022060901,0.0,11.86
2022060902,0.0,11.71
2022060903,0.0,11.67
2022060904,13.35,11.54
2022060905,127.82,12.58
2022060906,303.05,13.62
2022060907,490.48,14.88
2022060908,669.67,16.13
2022060909,815.03,17.55
2022060910,897.53,18.67
2022060911,912.53,19.31
2022060912,891.92,19.35
2022060913,746.4,19.28
2022060914,661.1,19.64
2022060915,563.47,19.81
2022060916,400.4,19.72
2022060917,234.82,19.57
2022060918,81.95,19.33
2022060919,0.0,19.3
2022060920,0.0,19.57
2022060921,0.0,18.93
2022060922,0.0,18.22
2022060923,0.0,17.45
2022061000,0.0,16.87
2022061001,0.0,16.61
2022061002,0.0,15.74
2022061003,0.0,15.01
2022061004,12.0,14.86
2022061005,119.78,15.45
2022061006,262.92,16.13
2022061007,421.73,16.62
2022061008,592.05,17.68
2022061009,691.3,19.06
2022061010,764.05,19.94
2022061011,671.9,20.58
2022061012,422.62,20.86
2022061013,229.98,20.58
2022061014,211.43,19.96
2022061015,175.52,19.2
2022061016,200.73,18.59
2022061017,132.18,18.13
2022061018,54.83,17.4
2022061019,0.0,16.44
2022061020,0.0,15.84
2022061021,0.0,15.34
2022061022,0.0,14.9
2022061023,0.0,14.54
2022061100,0.0,14.3
2022061101,0.0,14.06
2022061102,0.0,13.72
2022061103,0.0,13.35
2022061104,11.27,13.2
2022061105,97.53,13.94
2022061106,246.45,14.61
2022061107,421.55,15.97
2022061108,428.05,17.13
2022061109,549.8,17.56
2022061110,511.38,18.01
2022061111,380.25,18.67
2022061112,383.75,19.44
2022061113,343.02,20.11
2022061114,245.62,20.58
2022061115,92.9,20.97
2022061116,160.2,21.05
2022061117,91.22,20.71
2022061118,28.8,20.04
2022061119,0.0,19.47
2022061120,0.0,19.2
2022061121,0.0,18.99
2022061122,0.0,18.8
2022061123,0.0,18.54
2022061200,0.0,18.28
2022061201,0.0,17.63
2022061202,0.0,17.11
2022061203,0.0,16.98
2022061204,6.6,16.36
2022061205,48.12,16.57
2022061206,133.48,16.48
2022061207,237.57,16.55
2022061208,337.45,16.45
2022061209,397.42,16.19
2022061210,455.45,15.8
2022061211,589.3,15.39
2022061212,654.72,15.0
2022061213,637.97,14.72
2022061214,615.88,14.47
2022061215,485.3,14.27
2022061216,319.05,14.12
2022061217,178.95,13.9
2022061218,64.45,13.42
2022061219,0.0,12.89
2022061220,0.0,12.74
2022061221,0.0,12.88
2022061222,0.0,13.08
2022061223,0.0,13.26
2022061300,0.0,13.42
2022061301,0.0,13.65
2022061302,0.0,13.98
2022061303,0.0,14.33
2022061304,11.0,14.77
2022061305,100.22,15.86
2022061306,247.38,16.67
2022061307,403.75,17.62
2022061308,504.83,18.79
2022061309,640.33,20.49
2022061310,732.45,22.63
2022061311,625.72,24.1
2022061312,497.58,25.24
2022061313,245.1,25.27
2022061314,360.77,25.11
2022061315,278.9,23.95
2022061316,175.1,22.98
2022061317,104.03,22.54
2022061318,34.28,22.21
2022061319,0.0,22.1
2022061320,0.0,21.97
2022061321,0.0,21.22
2022061322,0.0,20.55
2022061323,0.0,20.03
2022061400,0.0,19.96
2022061401,0.0,20.35
2022061402,0.0,21.17
2022061403,0.0,21.01
2022061404,11.15,20.52
2022061405,112.55,20.98
2022061406,279.67,21.95
2022061407,476.1,22.79
2022061408,643.12,23.72
2022061409,785.12,24.8
2022061410,879.35,25.53
2022061411,930.17,26.17
2022061412,926.15,26.75
2022061413,843.88,27.01
2022061414,722.95,26.97
2022061415,569.03,26.85
2022061416,395.9,26.43
2022061417,222.32,25.79
2022061418,78.25,25.05
2022061419,0.0,24.36
2022061420,0.0,23.87
2022061421,0.0,23.48
2022061422,0.0,23.31
2022061423,0.0,23.09
2022061500,0.0,22.87
2022061501,0.0,22.56
2022061502,0.0,22.29
2022061503,0.0,21.95
2022061504,13.0,21.55
2022061505,124.35,21.85
2022061506,289.0,22.29
2022061507,462.52,22.95
2022061508,641.45,23.56
2022061509,778.42,24.04
2022061510,824.85,24.8
2022061511,933.08,25.51
2022061512,906.53,25.98
2022061513,814.35,26.26
2022061514,671.9,26.37
2022061515,479.8,26.31
2022061516,334.58,26.07
2022061517,186.25,25.71
2022061518,67.07,25.06
2022061519,0.0,24.46
2022061520,0.0,24.05
2022061521,0.0,23.73
2022061522,0.0,23.36
2022061523,0.0,22.85
2022061600,0.0,22.46
2022061601,0.0,22.05
2022061602,0.0,21.57
2022061603,0.0,20.57
2022061604,5.22,19.39
2022061605,99.55,18.6
2022061606,269.4,18.92
2022061607,421.65,20.17
2022061608,604.38,21.82
2022061609,763.3,23.73
2022061610,885.72,24.78
2022061611,758.81,25.29
2022061612,973.47,25.57
2022061613,908.72,25.7
2022061614,793.0,25.69
2022061615,638.15,25.63
2022061616,456.65,25.4
2022061617,265.88,24.76
2022061618,91.82,23.77
2022061619,3.42,22.68
2022061620,0.0,21.88
2022061621,0.0,21.2
2022061622,0.0,20.59
2022061623,0.0,20.01
2022061700,0.0,19.53
2022061701,0.0,19.18
2022061702,0.0,18.83
2022061703,0.0,18.48
2022061704,12.15,18.32
2022061705,96.93,18.82
2022061706,224.8,19.34
2022061707,374.67,20.46
2022061708,620.8,21.31
2022061709,826.65,21.77
2022061710,925.9,22.12
2022061711,971.1,22.44
2022061712,963.72,22.69
2022061713,901.95,22.87
2022061714,789.9,22.92
2022061715,638.22,22.84
2022061716,459.85,22.59
2022061717,271.5,22.03
2022061718,96.62,20.97
2022061719,3.8,19.51
2022061720,0.0,18.37
2022061721,0.0,17.93
2022061722,0.0,18.34
2022061723,0.0,17.92
2022061800,0.0,16.67
2022061801,0.0,15.93
2022061802,0.0,15.53
2022061803,0.0,15.18
2022061804,16.9,14.99
2022061805,157.1,15.83
2022061806,351.75,16.4
2022061807,545.22,16.92
2022061808,719.67,17.46
2022061809,860.97,17.77
2022061810,956.67,17.77
2022061811,987.67,17.73
2022061812,973.62,17.59
2022061813,912.72,17.42
2022061814,801.12,17.19
2022061815,648.38,16.89
2022061816,465.98,16.61
2022061817,269.4,16.24
2022061818,93.38,15.69
2022061819,3.8,14.96
2022061820,0.0,14.76
2022061821,0.0,15.05
2022061822,0.0,15.15
2022061823,0.0,14.9
2022061900,0.0,15.2
2022061901,0.0,15.51
2022061902,0.0,15.81
2022061903,0.0,15.69
2022061904,13.32,15.51
2022061905,128.62,15.91
2022061906,301.9,16.44
2022061907,491.7,17.79
2022061908,617.85,19.26
2022061909,692.25,20.42
2022061910,840.92,21.4
2022061911,957.53,22.2
2022061912,947.6,22.82
2022061913,884.47,23.23
2022061914,766.92,23.52
2022061915,597.3,23.71
2022061916,440.17,23.65
2022061917,249.1,23.31
2022061918,85.12,22.21
