Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,18.1
2022060101,0.0,17.34
2022060102,0.0,16.63
2022060103,0.0,15.88
2022060104,0.0,15.22
2022060105,104.22,16.78
2022060106,298.58,20.07
2022060107,506.95,23.52
2022060108,698.85,27.07
2022060109,856.8,30.9
2022060110,967.9,33.55
2022060111,1023.3,35.42
2022060112,1006.3,36.67
2022060113,943.05,37.32
2022060114,825.12,37.38
2022060115,661.92,36.98
2022060116,466.83,36.14
2022060117,259.27,34.79
2022060118,70.8,31.0
2022060119,0.0,27.2
2022060120,0.0,25.92
2022060121,0.0,24.85
2022060122,0.0,23.45
2022060123,0.0,22.12
2022060200,0.0,20.91
2022060201,0.0,19.88
2022060202,0.0,18.94
2022060203,0.0,18.15
2022060204,0.0,17.65
2022060205,93.15,19.44
2022060206,268.52,22.0
2022060207,460.55,24.55
2022060208,668.33,27.64
2022060209,832.9,30.75
2022060210,880.1,33.11
2022060211,892.45,34.77
2022060212,884.55,35.89
2022060213,874.72,35.85
2022060214,733.2,34.55
2022060215,481.7,33.49
2022060216,349.08,32.58
2022060217,197.98,31.43
2022060218,59.25,29.83
2022060219,0.0,27.65
2022060220,0.0,25.98
2022060221,0.0,23.96
2022060222,0.0,21.75
2022060223,0.0,20.13
2022060300,0.0,19.18
2022060301,0.0,18.46
2022060302,0.0,17.8
2022060303,0.0,17.22
2022060304,0.0,16.68
2022060305,94.2,17.06
2022060306,284.95,19.24
2022060307,490.88,21.7
2022060308,681.88,24.27
2022060309,838.5,26.94
2022060310,947.05,29.57
2022060311,1002.6,31.84
2022060312,971.5,33.23
2022060313,873.08,34.25
2022060314,748.8,34.41
2022060315,547.78,33.83
2022060316,373.52,33.11
2022060317,202.85,31.47
2022060318,58.85,29.17
2022060319,0.0,26.71
2022060320,0.0,25.14
2022060321,0.0,23.64
2022060322,0.0,22.08
2022060323,0.0,20.56
2022060400,0.0,19.46
2022060401,0.0,18.81
2022060402,0.0,18.03
2022060403,0.0,17.4
2022060404,0.0,16.88
2022060405,92.12,17.29
2022060406,268.65,19.06
2022060407,451.17,20.76
2022060408,626.55,22.66
2022060409,745.62,24.84
2022060410,858.12,26.29
2022060411,830.17,27.08
2022060412,848.08,27.93
2022060413,779.88,29.25
2022060414,700.1,30.69
2022060415,568.7,31.62
2022060416,397.27,31.75
2022060417,212.48,31.2
2022060418,58.9,28.77
2022060419,0.0,26.26
2022060420,0.0,25.25
2022060421,0.0,23.58
2022060422,0.0,22.09
2022060423,0.0,21.04
2022060500,0.0,20.59
2022060501,0.0,20.43
2022060502,0.0,19.72
2022060503,0.0,19.26
2022060504,0.0,18.66
2022060505,81.03,19.66
2022060506,226.75,22.07
2022060507,380.8,24.51
2022060508,623.47,26.72
2022060509,781.95,28.86
2022060510,919.5,30.79
2022060511,979.7,32.39
2022060512,963.2,33.61
2022060513,905.7,34.39
2022060514,790.67,34.71
2022060515,633.55,34.31
2022060516,445.9,33.15
2022060517,249.32,31.52
2022060518,72.03,29.84
2022060519,0.0,28.01
2022060520,0.0,26.79
2022060521,0.0,25.84
2022060522,0.0,24.68
2022060523,0.0,23.37
2022060600,0.0,21.95
2022060601,0.0,20.64
2022060602,0.0,19.47
2022060603,0.0,18.46
2022060604,0.0,17.56
2022060605,100.32,17.6
2022060606,286.85,19.61
2022060607,491.25,22.21
2022060608,682.2,24.7
2022060609,840.75,27.17
2022060610,954.25,29.45
2022060611,1014.55,31.5
2022060612,946.65,33.19
2022060613,930.88,34.44
2022060614,827.9,35.16
2022060615,670.0,35.1
2022060616,477.67,34.29
2022060617,271.35,32.85
2022060618,81.47,29.92
2022060619,0.0,25.55
2022060620,0.0,24.59
2022060621,0.0,23.36
2022060622,0.0,21.65
2022060623,0.0,20.26
2022060700,0.0,19.03
2022060701,0.0,18.03
2022060702,0.0,17.28
2022060703,0.0,16.72
2022060704,0.0,16.27
2022060705,108.32,17.25
2022060706,302.58,19.95
2022060707,510.2,23.38
2022060708,700.72,26.32
2022060709,857.2,29.17
2022060710,967.4,31.97
2022060711,1021.15,34.41
2022060712,1020.1,36.44
2022060713,948.92,37.72
2022060714,840.65,38.27
2022060715,645.85,38.13
2022060716,459.98,37.28
2022060717,259.48,35.61
2022060718,77.65,32.57
2022060719,0.0,29.1
2022060720,0.0,26.74
2022060721,0.0,24.47
2022060722,0.0,22.49
2022060723,0.0,20.97
2022060800,0.0,19.83
2022060801,0.0,18.96
2022060802,0.0,18.24
2022060803,0.0,17.65
2022060804,0.0,17.19
2022060805,100.25,18.21
2022060806,287.75,21.01
2022060807,488.4,23.94
2022060808,674.47,26.34
2022060809,833.33,29.39
2022060810,943.17,32.39
2022060811,994.17,34.75
2022060812,966.58,36.37
2022060813,872.88,37.25
2022060814,757.05,37.53
2022060815,649.97,37.12
2022060816,440.65,36.02
2022060817,239.57,34.36
2022060818,68.5,32.03
2022060819,0.0,29.57
2022060820,0.0,27.88
2022060821,0.0,26.21
2022060822,0.0,24.47
2022060823,0.0,22.93
2022060900,0.0,21.7
2022060901,0.0,20.86
2022060902,0.0,20.22
2022060903,0.0,19.64
2022060904,0.0,19.11
2022060905,96.78,19.65
2022060906,279.48,22.05
2022060907,481.15,24.58
2022060908,659.15,26.87
2022060909,769.62,29.61
2022060910,756.67,32.7
2022060911,862.1,35.37
2022060912,785.25,37.2
2022060913,789.55,38.21
2022060914,747.42,38.56
2022060915,637.53,38.35
2022060916,457.98,37.67
2022060917,260.5,36.45
2022060918,80.25,34.02
2022060919,0.0,29.88
2022060920,0.0,28.95
2022060921,0.0,28.05
2022060922,0.0,26.56
2022060923,0.0,25.36
2022061000,0.0,24.42
2022061001,0.0,23.56
2022061002,0.0,22.81
2022061003,0.0,22.24
2022061004,0.0,21.69
2022061005,95.9,23.05
2022061006,277.83,25.73
2022061007,478.55,28.66
2022061008,665.75,31.35
2022061009,821.2,34.25
2022061010,932.05,36.83
2022061011,989.3,38.75
2022061012,981.08,40.1
2022061013,923.62,40.92
2022061014,811.4,41.32
2022061015,655.33,41.16
2022061016,467.98,40.42
2022061017,266.88,39.03
2022061018,83.55,36.16
2022061019,0.0,32.12
2022061020,0.0,31.23
2022061021,0.0,29.88
2022061022,0.0,28.2
2022061023,0.0,26.79
2022061100,0.0,25.63
2022061101,0.0,24.62
2022061102,0.0,23.65
2022061103,0.0,22.67
2022061104,0.0,21.85
2022061105,105.22,22.73
2022061106,292.85,25.45
2022061107,497.35,28.53
2022061108,686.5,31.09
2022061109,844.88,33.85
2022061110,959.05,36.46
2022061111,1018.05,38.59
2022061112,1011.72,40.07
2022061113,953.05,41.08
2022061114,840.42,41.53
2022061115,681.67,41.32
2022061116,490.77,40.47
2022061117,284.27,38.93
2022061118,92.97,36.15
2022061119,0.0,32.55
2022061120,0.0,30.97
2022061121,0.0,29.13
2022061122,0.0,27.42
2022061123,0.0,26.08
2022061200,0.0,25.0
2022061201,0.0,24.11
2022061202,0.0,23.38
2022061203,0.0,22.66
2022061204,0.0,22.02
2022061205,102.7,23.0
2022061206,286.85,25.82
2022061207,485.83,29.2
2022061208,670.95,31.86
2022061209,825.03,34.09
2022061210,936.0,36.0
2022061211,990.92,37.53
2022061212,983.9,38.3
2022061213,906.83,37.89
2022061214,727.55,37.06
2022061215,614.9,36.18
2022061216,439.15,35.17
2022061217,255.4,33.34
2022061218,80.05,30.74
2022061219,0.0,27.98
2022061220,0.0,25.86
2022061221,0.0,23.99
2022061222,0.0,22.23
2022061223,0.0,20.65
2022061300,0.0,19.36
2022061301,0.0,18.28
2022061302,0.0,17.14
2022061303,0.0,16.14
2022061304,0.0,15.4
2022061305,113.57,15.69
2022061306,305.23,17.57
2022061307,512.33,20.01
2022061308,698.67,22.63
2022061309,859.7,25.18
2022061310,971.8,27.37
2022061311,1035.85,29.2
2022061312,1027.22,30.63
2022061313,978.22,31.47
2022061314,866.8,31.64
2022061315,706.67,31.28
2022061316,512.1,30.44
2022061317,301.6,29.13
2022061318,103.38,27.13
2022061319,0.0,24.33
2022061320,0.0,23.07
2022061321,0.0,21.76
2022061322,0.0,20.47
2022061323,0.0,19.25
2022061400,0.0,18.23
2022061401,0.0,17.25
2022061402,0.0,16.35
2022061403,0.0,15.58
2022061404,0.0,14.98
2022061405,113.68,15.94
2022061406,307.45,18.55
2022061407,515.72,21.46
2022061408,708.22,24.39
2022061409,867.92,27.54
2022061410,982.03,29.93
2022061411,1041.3,31.97
2022061412,1041.2,33.58
2022061413,982.12,34.62
2022061414,865.7,34.93
2022061415,703.83,34.77
2022061416,508.83,34.1
2022061417,299.05,32.79
2022061418,102.65,29.85
2022061419,0.0,25.12
2022061420,0.0,23.86
2022061421,0.0,22.84
2022061422,0.0,21.8
2022061423,0.0,20.79
2022061500,0.0,19.83
2022061501,0.0,18.75
2022061502,0.0,17.86
2022061503,0.0,17.21
2022061504,0.0,16.68
2022061505,110.35,18.48
2022061506,301.7,21.62
2022061507,508.2,24.82
2022061508,700.33,27.94
2022061509,860.0,31.4
2022061510,973.62,34.12
2022061511,1032.6,36.37
2022061512,1027.75,37.94
2022061513,970.15,39.04
2022061514,854.65,39.53
2022061515,694.28,39.42
2022061516,501.35,38.85
2022061517,293.62,37.66
2022061518,100.38,33.91
2022061519,0.0,29.84
2022061520,0.0,28.63
2022061521,0.0,26.12
2022061522,0.0,23.86
2022061523,0.0,22.24
2022061600,0.0,20.94
2022061601,0.0,19.87
2022061602,0.0,18.94
2022061603,0.0,18.15
2022061604,0.0,17.47
2022061605,110.43,17.95
2022061606,303.02,20.62
2022061607,510.38,23.69
2022061608,701.4,26.42
2022061609,859.12,29.22
2022061610,971.9,31.97
2022061611,1028.22,34.59
2022061612,1018.17,36.77
2022061613,959.95,38.08
2022061614,846.15,38.6
2022061615,687.4,38.56
2022061616,496.5,37.84
2022061617,290.23,36.05
2022061618,99.68,32.32
2022061619,0.0,27.34
2022061620,0.0,22.83
2022061621,0.0,19.58
2022061622,0.0,17.65
2022061623,0.0,16.4
2022061700,0.0,15.57
2022061701,0.0,14.88
2022061702,0.0,14.42
2022061703,0.0,14.2
2022061704,0.0,14.21
2022061705,59.12,14.45
2022061706,155.38,15.05
2022061707,304.33,15.98
2022061708,403.6,17.73
2022061709,432.38,19.81
2022061710,466.42,20.93
2022061711,583.05,22.68
2022061712,668.45,25.03
2022061713,803.62,26.53
2022061714,823.42,27.23
2022061715,668.47,27.37
2022061716,487.8,26.98
2022061717,289.3,25.99
2022061718,101.2,24.09
2022061719,0.0,20.86
2022061720,0.0,19.37
2022061721,0.0,18.16
2022061722,0.0,16.83
2022061723,0.0,15.83
2022061800,0.0,15.05
2022061801,0.0,14.6
2022061802,0.0,14.13
2022061803,0.0,13.49
2022061804,0.0,12.92
2022061805,109.93,13.56
2022061806,302.92,15.73
2022061807,509.52,18.2
2022061808,701.5,20.55
2022061809,860.33,22.69
2022061810,974.7,24.51
2022061811,1033.07,26.1
2022061812,1006.92,27.3
2022061813,967.3,28.16
2022061814,857.22,28.51
2022061815,698.22,28.35
2022061816,507.33,27.66
2022061817,297.92,26.4
2022061818,104.1,24.54
2022061819,0.0,22.2
2022061820,0.0,20.34
2022061821,0.0,18.52
2022061822,0.0,16.83
2022061823,0.0,15.47
2022061900,0.0,14.48
2022061901,0.0,13.92
2022061902,0.0,13.51
2022061903,0.0,13.23
2022061904,0.0,12.91
2022061905,107.0,13.87
2022061906,298.3,16.69
2022061907,504.58,19.83
2022061908,697.05,22.57
2022061909,857.78,25.07
2022061910,973.6,27.18
2022061911,1034.97,28.96
2022061912,1035.78,30.3
2022061913,976.62,31.26
2022061914,861.55,31.66
2022061915,700.9,31.54
2022061916,507.25,30.94
2022061917,298.2,29.82
2022061918,104.03,27.76
2022061919,0.0,23.67
2022061920,0.0,22.75
2022061921,0.0,22.09
2022061922,0.0,21.06
2022061923,0.0,20.22
2022062000,0.0,19.17
2022062001,0.0,18.18
2022062002,0.0,17.26
2022062003,0.0,16.38
2022062004,0.0,15.7
2022062005,105.93,16.96
2022062006,300.0,19.8
2022062007,503.88,23.02
2022062008,695.08,25.7
2022062009,853.97,28.49
2022062010,969.55,31.61
2022062011,1030.95,33.92
2022062012,1021.75,35.38
2022062013,965.2,36.2
2022062014,849.78,35.72
2022062015,688.83,35.04
2022062016,495.4,34.32
2022062017,287.4,33.39
2022062018,97.8,30.47
2022062019,0.0,25.85
2022062020,0.0,24.49
2022062021,0.0,23.54
2022062022,0.0,22.76
2022062023,0.0,21.99
2022062100,0.0,21.21
2022062101,0.0,20.38
2022062102,0.0,19.44
2022062103,0.0,18.66
2022062104,0.0,18.22
2022062105,92.78,20.28
2022062106,276.4,24.42
2022062107,481.4,27.89
2022062108,673.33,31.06
2022062109,835.35,34.38
2022062110,952.53,37.24
2022062111,1012.22,38.88
2022062112,1003.65,39.97
2022062113,946.15,40.55
2022062114,830.7,40.59
2022062115,669.4,40.14
2022062116,475.7,39.27
2022062117,263.25,37.91
2022062118,84.88,34.4
2022062119,0.0,29.82
2022062120,0.0,28.27
2022062121,0.0,27.04
2022062122,0.0,26.33
2022062123,0.0,24.57
2022062200,0.0,23.2
2022062201,0.0,21.7
2022062202,0.0,20.45
2022062203,0.0,19.71
2022062204,0.0,19.51
2022062205,30.15,21.3
2022062206,87.1,24.22
2022062207,140.0,26.85
2022062208,154.45,29.67
2022062209,357.92,32.76
2022062210,487.38,37.35
2022062211,629.67,39.51
2022062212,841.53,39.87
2022062213,883.55,38.29
2022062214,780.12,37.87
2022062215,620.17,37.4
2022062216,429.8,36.62
2022062217,233.3,35.56
2022062218,71.88,33.26
2022062219,0.0,29.71
2022062220,0.0,29.54
2022062221,0.0,29.37
2022062222,0.0,28.16
2022062223,0.0,26.56
2022062300,0.0,25.48
2022062301,0.0,24.98
2022062302,0.0,25.01
2022062303,0.0,25.12
2022062304,0.0,24.44
2022062305,76.0,24.31
2022062306,237.75,25.3
2022062307,427.88,27.0
2022062308,623.15,29.09
2022062309,777.1,32.53
2022062310,886.67,35.56
2022062311,951.9,37.34
2022062312,956.05,38.54
2022062313,902.85,39.27
2022062314,783.97,39.57
2022062315,630.33,39.41
2022062316,445.15,38.8
2022062317,255.73,37.78
2022062318,88.0,35.2
2022062319,0.0,31.46
2022062320,0.0,30.25
2022062321,0.0,29.61
2022062322,0.0,28.62
2022062323,0.0,27.45
2022062400,0.0,26.42
2022062401,0.0,25.33
2022062402,0.0,24.27
2022062403,0.0,23.49
2022062404,0.0,22.95
2022062405,86.75,24.64
2022062406,264.92,27.81
2022062407,465.2,31.15
2022062408,653.78,33.91
2022062409,811.5,36.3
2022062410,924.42,38.32
2022062411,984.33,39.94
2022062412,987.22,41.14
2022062413,917.62,41.94
2022062414,809.1,42.23
2022062415,656.25,42.05
2022062416,471.17,41.39
2022062417,273.35,40.2
2022062418,93.43,37.06
2022062419,0.0,32.95
2022062420,0.0,32.1
2022062421,0.0,30.52
2022062422,0.0,28.68
2022062423,0.0,27.11
2022062500,0.0,25.74
2022062501,0.0,24.43
2022062502,0.0,23.37
2022062503,0.0,22.61
2022062504,0.0,21.99
2022062505,88.38,23.71
2022062506,271.25,26.82
2022062507,473.8,29.92
2022062508,663.08,32.73
2022062509,820.55,35.61
2022062510,933.12,38.56
2022062511,992.05,40.89
2022062512,988.85,42.33
2022062513,935.03,43.17
2022062514,825.35,43.5
2022062515,670.42,43.31
2022062516,482.85,42.55
2022062517,280.17,41.17
2022062518,96.82,38.07
2022062519,0.0,34.09
2022062520,0.0,31.85
2022062521,0.0,29.52
2022062522,0.0,27.53
2022062523,0.0,25.9
2022062600,0.0,24.73
2022062601,0.0,23.81
2022062602,0.0,22.94
2022062603,0.0,22.12
2022062604,0.0,21.42
2022062605,90.68,22.48
2022062606,275.92,24.83
2022062607,480.62,27.51
2022062608,671.47,30.3
2022062609,830.75,33.36
2022062610,945.58,36.39
2022062611,1006.33,39.58
2022062612,1000.33,41.89
2022062613,943.83,43.17
2022062614,831.15,43.71
2022062615,673.22,43.61
2022062616,482.52,42.89
2022062617,277.9,41.49
