Hour,Irradiance_Wm2,AmbientTemp_C,region,hour,panel_temp,energy_gain,cooling_cost,should_cool
2022060100,7.45,21.35,mount_vernon,0,22.65,0.0,0.0,0
2022060101,22.85,21.36,mount_vernon,1,23.58,0.0,0.0,0
2022060102,0.0,19.82,mount_vernon,2,19.65,0.0,0.0,0
2022060103,0.0,19.37,mount_vernon,3,15.86,0.0,0.0,0
2022060104,0.0,19.81,mount_vernon,4,17.41,0.0,0.0,0
2022060105,30.72,19.81,mount_vernon,5,19.16,0.0,0.0,0
2022060106,154.19,20.74,mount_vernon,6,25.16,0.0,0.0,0
2022060107,261.35,23.33,mount_vernon,7,31.71,0.0,0.0,0
2022060108,457.34,24.39,mount_vernon,8,37.34,0.0,0.0,0
2022060109,644.69,25.59,mount_vernon,9,46.95,0.0,0.0,0
2022060110,669.66,26.71,mount_vernon,10,47.8,1.803,2.353,0
2022060111,677.13,28.09,mount_vernon,11,50.63,2.445,2.353,0
2022060112,749.92,29.05,mount_vernon,12,51.63,2.971,2.353,1
2022060113,803.32,28.73,mount_vernon,13,52.77,2.693,2.353,0
2022060114,665.2,28.41,mount_vernon,14,46.19,0.0,0.0,0
2022060115,531.14,27.91,mount_vernon,15,44.19,0.0,0.0,0
2022060116,287.09,27.25,mount_vernon,16,34.21,0.0,0.0,0
2022060117,157.05,25.23,mount_vernon,17,29.12,0.0,0.0,0
2022060118,109.67,24.49,mount_vernon,18,26.99,0.0,0.0,0
2022060119,11.93,23.15,mount_vernon,19,28.37,0.0,0.0,0
2022060120,0.0,21.78,mount_vernon,20,23.7,0.0,0.0,0
2022060121,11.28,21.45,mount_vernon,21,26.05,0.0,0.0,0
2022060122,1.49,18.65,mount_vernon,22,14.63,0.0,0.0,0
2022060123,1.03,17.01,mount_vernon,23,15.01,0.0,0.0,0
2022060200,3.41,17.74,mount_vernon,0,14.5,0.0,0.0,0
2022060201,2.77,16.59,mount_vernon,1,12.95,0.0,0.0,0
2022060202,0.0,17.15,mount_vernon,2,17.72,0.0,0.0,0
2022060203,0.0,16.05,mount_vernon,3,16.3,0.0,0.0,0
2022060204,14.45,16.53,mount_vernon,4,18.48,0.0,0.0,0
2022060205,37.97,16.3,mount_vernon,5,16.83,0.0,0.0,0
2022060206,51.28,18.91,mount_vernon,6,21.34,0.0,0.0,0
2022060207,93.57,19.03,mount_vernon,7,23.36,0.0,0.0,0
2022060208,161.37,18.83,mount_vernon,8,22.73,0.0,0.0,0
2022060209,230.47,19.4,mount_vernon,9,25.99,0.0,0.0,0
2022060210,268.62,20.54,mount_vernon,10,30.56,0.0,0.0,0
2022060211,355.26,21.97,mount_vernon,11,39.58,0.0,0.0,0
2022060212,356.47,23.21,mount_vernon,12,31.94,0.0,0.0,0
2022060213,543.85,23.29,mount_vernon,13,37.02,0.0,0.0,0
2022060214,686.01,21.92,mount_vernon,14,40.99,0.0,0.0,0
2022060215,611.41,21.88,mount_vernon,15,41.17,0.0,0.0,0
2022060216,417.74,19.84,mount_vernon,16,31.27,0.0,0.0,0
2022060217,273.66,18.3,mount_vernon,17,25.95,0.0,0.0,0
2022060218,105.16,18.79,mount_vernon,18,25.69,0.0,0.0,0
2022060219,37.54,16.46,mount_vernon,19,18.47,0.0,0.0,0
2022060220,0.0,14.06,mount_vernon,20,16.37,0.0,0.0,0
