Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,20.19
2022060101,0.0,19.31
2022060102,0.0,18.6
2022060103,0.0,17.99
2022060104,0.0,17.28
2022060105,55.33,17.35
2022060106,254.15,21.52
2022060107,468.58,25.38
2022060108,671.17,30.42
2022060109,837.38,32.71
2022060110,958.85,34.2
2022060111,1041.53,35.42
2022060112,1024.85,36.29
2022060113,970.78,36.73
2022060114,851.65,36.9
2022060115,677.75,36.61
2022060116,488.98,35.84
2022060117,275.35,34.58
2022060118,76.0,30.83
2022060119,0.0,27.13
2022060120,0.0,26.6
2022060121,0.0,25.29
2022060122,0.0,22.28
2022060123,0.0,21.55
2022060200,0.0,19.81
2022060201,0.0,18.36
2022060202,0.0,17.82
2022060203,0.0,17.51
2022060204,0.0,17.08
2022060205,47.95,17.72
2022060206,229.48,19.79
2022060207,428.33,21.94
2022060208,628.92,24.4
2022060209,789.55,26.77
2022060210,924.3,28.95
2022060211,995.28,30.88
2022060212,983.03,32.38
2022060213,925.38,33.43
2022060214,778.05,34.0
2022060215,588.1,34.02
2022060216,403.15,33.51
2022060217,208.3,32.53
2022060218,52.83,30.57
2022060219,0.0,26.87
2022060220,0.0,25.85
2022060221,0.0,25.07
2022060222,0.0,24.01
2022060223,0.0,22.91
2022060300,0.0,21.91
2022060301,0.0,21.13
2022060302,0.0,20.39
2022060303,0.0,19.61
2022060304,0.0,18.82
2022060305,47.28,18.68
2022060306,231.75,20.69
2022060307,440.23,23.31
2022060308,640.4,26.09
2022060309,800.55,29.02
2022060310,934.78,31.52
2022060311,983.88,33.48
2022060312,986.72,34.89
2022060313,934.65,35.73
2022060314,807.8,36.17
2022060315,643.53,36.14
2022060316,453.35,35.58
2022060317,258.65,34.52
2022060318,73.6,31.29
2022060319,0.0,26.84
2022060320,0.0,25.49
2022060321,0.0,24.27
2022060322,0.0,23.5
2022060323,0.0,23.37
2022060400,0.0,22.9
2022060401,0.0,22.05
2022060402,0.0,21.16
2022060403,0.0,20.31
2022060404,0.0,19.64
2022060405,45.12,19.69
2022060406,230.27,22.6
2022060407,445.7,26.82
2022060408,669.4,30.28
2022060409,836.45,32.18
2022060410,965.33,33.59
2022060411,1017.95,34.57
2022060412,988.95,35.14
2022060413,963.05,35.43
2022060414,843.38,35.28
2022060415,634.85,35.0
2022060416,380.98,34.28
2022060417,210.75,33.03
2022060418,60.75,30.67
2022060419,0.0,26.51
2022060420,0.0,24.96
2022060421,0.0,23.88
2022060422,0.0,22.75
2022060423,0.0,21.56
2022060500,0.0,20.47
2022060501,0.0,19.35
2022060502,0.0,18.15
2022060503,0.0,17.23
2022060504,0.0,16.59
2022060505,52.67,17.16
2022060506,223.43,20.53
2022060507,410.98,25.02
2022060508,603.28,29.37
2022060509,749.85,31.24
2022060510,899.12,32.81
2022060511,1002.88,34.4
2022060512,1013.78,35.47
2022060513,944.47,35.94
2022060514,839.78,36.01
2022060515,654.3,35.86
2022060516,366.85,35.36
2022060517,203.95,34.23
2022060518,61.53,31.15
2022060519,0.0,27.15
2022060520,0.0,24.88
2022060521,0.0,23.2
2022060522,0.0,22.24
2022060523,0.0,22.13
2022060600,0.0,22.24
2022060601,0.0,22.24
2022060602,0.0,21.63
2022060603,0.0,20.86
2022060604,0.0,20.01
2022060605,55.42,19.89
2022060606,249.98,22.57
2022060607,461.62,27.04
2022060608,662.75,30.59
2022060609,831.22,32.88
2022060610,943.95,34.86
2022060611,1015.75,36.45
2022060612,1019.35,37.53
2022060613,974.95,38.19
2022060614,845.1,38.37
2022060615,673.15,37.97
2022060616,491.0,36.97
2022060617,275.75,35.42
2022060618,81.03,33.05
2022060619,0.0,29.44
2022060620,0.0,27.66
2022060621,0.0,26.54
2022060622,0.0,25.64
2022060623,0.0,24.84
2022060700,0.0,24.13
2022060701,0.0,23.39
2022060702,0.0,22.52
2022060703,0.0,21.64
2022060704,0.0,20.75
2022060705,54.2,20.95
2022060706,248.2,24.01
2022060707,457.33,28.6
2022060708,657.9,33.06
2022060709,824.85,35.36
2022060710,948.45,37.09
2022060711,1006.0,38.41
2022060712,984.15,39.27
2022060713,961.1,39.64
2022060714,821.3,39.55
2022060715,663.7,38.99
2022060716,480.75,38.11
2022060717,264.85,36.81
2022060718,76.5,33.95
2022060719,0.0,29.7
2022060720,0.0,28.43
2022060721,0.0,27.55
2022060722,0.0,26.68
2022060723,0.0,25.84
2022060800,0.0,24.96
2022060801,0.0,24.09
2022060802,0.0,23.28
2022060803,0.0,22.48
2022060804,0.0,21.73
2022060805,47.45,21.97
2022060806,234.7,25.07
2022060807,436.12,29.25
2022060808,647.1,33.05
2022060809,813.15,35.54
2022060810,925.3,37.31
2022060811,1007.65,38.56
2022060812,977.28,39.44
2022060813,822.95,40.04
2022060814,727.58,40.1
2022060815,516.1,39.67
2022060816,265.42,38.79
2022060817,138.32,37.44
2022060818,39.28,34.52
2022060819,0.0,31.47
2022060820,0.0,30.68
2022060821,0.0,29.38
2022060822,0.0,27.61
2022060823,0.0,26.6
2022060900,0.0,25.73
2022060901,0.0,25.46
2022060902,0.0,25.16
2022060903,0.0,24.76
2022060904,0.0,23.92
2022060905,35.38,23.84
2022060906,180.88,25.47
2022060907,365.77,27.16
2022060908,560.6,28.97
2022060909,618.03,30.63
2022060910,635.45,32.38
2022060911,672.33,34.26
2022060912,790.88,35.51
2022060913,758.6,36.09
2022060914,675.72,36.18
2022060915,569.88,35.84
2022060916,375.15,35.18
2022060917,191.38,34.33
2022060918,50.88,32.36
2022060919,0.0,28.91
2022060920,0.0,28.01
2022060921,0.0,26.4
2022060922,0.0,24.82
2022060923,0.0,23.35
2022061000,0.0,22.75
2022061001,0.0,22.82
2022061002,0.0,22.18
2022061003,0.0,22.22
2022061004,0.0,22.08
2022061005,40.72,22.27
2022061006,212.25,24.62
2022061007,418.17,28.42
2022061008,637.12,32.24
2022061009,808.12,34.88
2022061010,925.22,36.64
2022061011,990.4,37.95
2022061012,982.3,38.89
2022061013,936.85,39.43
2022061014,775.3,39.67
2022061015,580.3,39.55
2022061016,402.4,39.01
2022061017,225.43,38.02
2022061018,68.38,35.61
2022061019,0.0,33.13
2022061020,0.0,32.15
2022061021,0.0,30.25
2022061022,0.0,28.24
2022061023,0.0,26.92
2022061100,0.0,25.9
2022061101,0.0,25.47
2022061102,0.0,25.76
2022061103,0.0,25.68
2022061104,0.0,24.43
2022061105,50.83,24.1
2022061106,239.48,26.89
2022061107,444.4,30.45
2022061108,648.1,34.72
2022061109,819.17,37.34
2022061110,935.9,39.17
2022061111,997.33,40.53
2022061112,1013.0,41.45
2022061113,840.15,41.9
2022061114,699.33,41.77
2022061115,538.92,41.17
2022061116,353.8,40.29
2022061117,192.9,39.22
2022061118,58.6,36.52
2022061119,0.0,32.9
2022061120,0.0,31.19
2022061121,0.0,29.31
2022061122,0.0,28.3
2022061123,0.0,27.5
2022061200,0.0,26.33
2022061201,0.0,25.29
2022061202,0.0,24.61
2022061203,0.0,23.97
2022061204,0.0,23.5
2022061205,36.47,24.47
2022061206,180.0,26.9
2022061207,357.45,30.3
2022061208,545.58,33.65
2022061209,750.2,35.48
2022061210,905.17,36.5
2022061211,938.2,37.41
2022061212,858.6,38.14
2022061213,792.38,38.77
2022061214,684.17,38.97
2022061215,524.15,38.59
2022061216,328.67,37.75
2022061217,179.88,36.67
2022061218,53.17,34.51
2022061219,0.0,30.38
2022061220,0.0,29.18
2022061221,0.0,28.91
2022061222,0.0,28.49
2022061223,0.0,28.43
2022061300,0.0,27.79
2022061301,0.0,26.74
2022061302,0.0,24.85
2022061303,0.0,23.66
2022061304,0.0,22.94
2022061305,42.42,23.5
2022061306,207.88,26.46
2022061307,392.67,30.95
2022061308,583.53,34.65
2022061309,776.92,36.84
2022061310,900.1,38.32
2022061311,958.95,39.26
2022061312,934.83,39.81
2022061313,801.95,40.22
2022061314,745.35,40.28
2022061315,544.78,39.97
2022061316,376.12,39.17
2022061317,209.4,37.82
2022061318,65.32,35.75
2022061319,0.0,32.86
2022061320,0.0,31.38
2022061321,0.0,29.79
2022061322,0.0,28.59
2022061323,0.0,27.35
2022061400,0.0,26.17
2022061401,0.0,25.14
2022061402,0.0,24.11
2022061403,0.0,23.13
2022061404,0.0,22.19
2022061405,51.95,22.45
2022061406,243.95,25.38
2022061407,452.73,29.33
2022061408,661.53,31.8
2022061409,827.78,33.72
2022061410,955.85,35.32
2022061411,1018.3,36.56
2022061412,1015.15,37.44
2022061413,976.28,37.97
2022061414,852.3,38.12
2022061415,692.97,37.88
2022061416,499.98,37.19
2022061417,288.75,36.02
2022061418,93.53,33.29
2022061419,0.0,28.65
2022061420,0.0,27.19
2022061421,0.0,26.08
2022061422,0.0,25.06
2022061423,0.0,24.08
2022061500,0.0,23.19
2022061501,0.0,22.27
2022061502,0.0,21.5
2022061503,0.0,20.76
2022061504,0.0,20.04
2022061505,56.67,20.46
2022061506,251.95,23.58
2022061507,463.62,28.02
2022061508,665.62,31.85
2022061509,841.08,34.23
2022061510,959.3,36.03
2022061511,1024.0,37.43
2022061512,1043.82,38.48
2022061513,988.1,39.09
2022061514,857.97,39.24
2022061515,697.42,38.9
2022061516,503.27,38.13
2022061517,291.5,36.91
2022061518,95.2,33.78
2022061519,0.0,29.74
2022061520,0.0,28.31
2022061521,0.0,27.19
2022061522,0.0,26.23
2022061523,0.0,25.42
2022061600,0.0,24.68
2022061601,0.0,23.81
2022061602,0.0,22.84
2022061603,0.0,21.87
2022061604,0.0,21.15
2022061605,52.65,21.89
2022061606,240.73,25.74
2022061607,443.1,29.55
2022061608,639.72,33.13
2022061609,800.95,35.44
2022061610,923.58,37.07
2022061611,981.15,38.3
2022061612,862.05,39.11
2022061613,742.08,39.53
2022061614,484.95,39.52
2022061615,345.75,39.06
2022061616,79.0,38.14
2022061617,67.88,36.78
2022061618,26.3,35.01
2022061619,0.0,32.46
2022061620,0.0,31.01
2022061621,0.0,29.58
2022061622,0.0,28.28
2022061623,0.0,27.1
2022061700,0.0,26.14
2022061701,0.0,25.28
2022061702,0.0,24.51
2022061703,0.0,23.57
2022061704,0.0,22.82
2022061705,41.35,23.17
2022061706,201.95,25.28
2022061707,380.8,28.12
2022061708,574.58,30.3
2022061709,645.0,32.12
2022061710,727.42,33.73
