Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,27.21
2022060101,0.0,26.5
2022060102,0.0,25.97
2022060103,0.0,25.61
2022060104,0.0,25.29
2022060105,29.42,25.57
2022060106,190.5,28.65
2022060107,391.25,31.48
2022060108,616.05,35.7
2022060109,807.95,38.1
2022060110,942.0,39.42
2022060111,1002.7,40.45
2022060112,994.17,41.15
2022060113,913.78,41.49
2022060114,765.9,41.46
2022060115,566.58,41.03
2022060116,342.85,40.14
2022060117,141.93,38.13
2022060118,12.43,33.66
2022060119,0.0,31.59
2022060120,0.0,30.28
2022060121,0.0,29.05
2022060122,0.0,27.76
2022060123,0.0,26.48
2022060200,0.0,25.38
2022060201,0.0,24.54
2022060202,0.0,23.97
2022060203,0.0,23.78
2022060204,0.0,23.93
2022060205,33.53,24.58
2022060206,214.23,27.84
2022060207,443.58,30.96
2022060208,672.65,35.25
2022060209,863.0,38.26
2022060210,993.97,39.48
2022060211,1025.7,40.37
2022060212,1015.53,40.93
2022060213,932.88,41.13
2022060214,783.12,40.97
2022060215,580.9,40.43
2022060216,352.23,39.49
2022060217,144.5,37.63
2022060218,12.7,33.19
2022060219,0.0,31.35
2022060220,0.0,30.31
2022060221,0.0,29.34
2022060222,0.0,28.37
2022060223,0.0,27.39
2022060300,0.0,26.5
2022060301,0.0,25.74
2022060302,0.0,25.09
2022060303,0.0,24.53
2022060304,0.0,24.07
2022060305,32.1,24.28
2022060306,204.5,27.8
2022060307,428.5,30.56
2022060308,657.62,35.1
2022060309,849.0,37.52
2022060310,981.7,38.99
2022060311,1044.25,40.06
2022060312,1031.03,40.72
2022060313,945.35,40.99
2022060314,795.53,40.9
2022060315,592.05,40.47
2022060316,360.67,39.66
2022060317,149.5,37.76
2022060318,13.38,34.39
2022060319,0.0,33.44
2022060320,0.0,32.85
2022060321,0.0,32.15
2022060322,0.0,31.28
2022060323,0.0,30.34
2022060400,0.0,29.61
2022060401,0.0,29.08
2022060402,0.0,28.63
2022060403,0.0,28.29
2022060404,0.0,28.0
2022060405,32.7,27.95
2022060406,206.52,29.35
2022060407,425.1,31.5
2022060408,650.28,36.44
2022060409,839.8,39.51
2022060410,969.5,40.9
2022060411,1064.12,41.9
2022060412,1053.1,42.54
2022060413,970.22,42.83
2022060414,820.33,42.75
2022060415,614.83,42.29
2022060416,375.83,41.43
2022060417,153.57,39.26
2022060418,13.73,34.47
2022060419,0.0,32.6
2022060420,0.0,31.53
2022060421,0.0,30.39
2022060422,0.0,29.19
2022060423,0.0,28.36
2022060500,0.0,28.42
2022060501,0.0,28.98
2022060502,0.0,29.06
2022060503,0.0,28.68
2022060504,0.0,28.23
2022060505,29.73,27.91
2022060506,186.57,29.7
2022060507,392.58,32.97
2022060508,617.97,37.06
2022060509,810.83,40.64
2022060510,945.88,41.86
2022060511,1064.95,42.62
2022060512,1057.07,43.08
2022060513,977.17,43.27
2022060514,831.75,43.19
2022060515,632.47,42.74
2022060516,400.67,41.9
2022060517,171.82,39.84
2022060518,15.38,36.82
2022060519,0.0,35.19
2022060520,0.0,33.83
2022060521,0.0,32.54
2022060522,0.0,31.36
2022060523,0.0,30.41
2022060600,0.0,29.69
2022060601,0.0,28.92
2022060602,0.0,28.11
2022060603,0.0,27.3
2022060604,0.0,26.49
2022060605,35.72,26.34
2022060606,222.88,30.07
2022060607,452.42,33.32
2022060608,677.9,37.37
2022060609,864.47,41.31
2022060610,993.45,42.57
2022060611,1058.72,43.36
2022060612,1049.82,43.83
2022060613,970.62,44.07
2022060614,824.55,43.98
2022060615,626.2,43.59
2022060616,395.38,42.85
