Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,2.64
2022060101,0.0,2.71
2022060102,0.0,2.49
2022060103,0.0,2.33
2022060104,1.52,2.18
2022060105,16.5,2.84
2022060106,34.97,3.84
2022060107,99.65,5.48
2022060108,225.07,7.89
2022060109,551.97,10.65
2022060110,580.9,13.51
2022060111,556.7,15.96
2022060112,581.97,18.01
2022060113,548.83,19.48
2022060114,608.85,20.02
2022060115,455.42,19.54
2022060116,305.35,18.09
2022060117,165.2,15.98
2022060118,52.67,13.26
2022060119,0.0,9.6
2022060120,0.0,8.01
2022060121,0.0,7.07
2022060122,0.0,6.07
2022060123,0.0,5.29
2022060200,0.0,4.75
2022060201,0.0,4.34
2022060202,0.0,4.0
2022060203,0.0,3.61
2022060204,4.43,3.26
2022060205,98.93,5.83
2022060206,270.33,9.31
2022060207,456.12,12.59
2022060208,595.75,15.36
2022060209,734.47,17.78
2022060210,866.83,19.84
2022060211,845.55,21.36
2022060212,980.35,22.26
2022060213,888.65,22.48
2022060214,785.6,22.2
2022060215,607.42,21.35
2022060216,412.88,20.23
2022060217,230.73,18.78
2022060218,76.43,16.74
2022060219,0.0,13.62
2022060220,0.0,11.73
2022060221,0.0,10.78
2022060222,0.0,10.05
2022060223,0.0,9.39
2022060300,0.0,8.85
2022060301,0.0,8.41
2022060302,0.0,7.88
2022060303,0.0,7.35
2022060304,4.82,6.97
2022060305,100.0,8.83
2022060306,271.77,12.0
2022060307,456.17,16.62
2022060308,618.8,19.56
2022060309,796.03,21.91
2022060310,887.7,23.68
2022060311,827.83,24.88
2022060312,401.15,24.78
2022060313,330.58,23.87
2022060314,310.9,23.0
2022060315,242.95,22.19
2022060316,204.07,21.52
2022060317,82.03,20.8
2022060318,22.75,18.86
2022060319,0.0,15.7
2022060320,0.0,13.94
2022060321,0.0,12.98
2022060322,0.0,12.05
2022060323,0.0,10.99
2022060400,0.0,10.03
2022060401,0.0,9.21
2022060402,0.0,8.56
2022060403,0.0,8.08
2022060404,4.93,7.78
2022060405,109.62,10.49
2022060406,298.83,14.48
2022060407,499.15,18.33
2022060408,673.92,21.92
2022060409,819.83,23.83
2022060410,950.6,25.56
2022060411,952.3,26.68
2022060412,825.85,27.11
2022060413,678.15,26.93
2022060414,678.05,26.47
2022060415,462.35,25.61
2022060416,305.6,24.56
2022060417,150.48,23.48
2022060418,45.83,21.34
2022060419,0.0,18.96
2022060420,0.0,17.59
2022060421,0.0,16.12
2022060422,0.0,14.97
2022060423,0.0,13.97
2022060500,0.0,13.46
2022060501,0.0,12.94
2022060502,0.0,12.18
2022060503,0.0,11.85
2022060504,3.53,11.55
2022060505,77.62,13.02
2022060506,206.75,15.37
2022060507,345.95,18.27
2022060508,569.9,20.86
2022060509,757.7,22.88
2022060510,792.0,24.06
2022060511,884.62,24.66
2022060512,879.1,24.75
2022060513,769.47,24.13
2022060514,543.92,22.31
