Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,25.44
2022060101,0.0,25.2
2022060102,0.0,24.98
2022060103,0.0,24.9
2022060104,0.0,24.76
2022060105,10.68,24.64
2022060106,113.85,26.06
2022060107,267.85,28.08
2022060108,447.67,30.24
2022060109,657.28,32.05
2022060110,824.65,33.48
2022060111,899.1,34.56
2022060112,894.62,35.38
2022060113,805.22,35.81
2022060114,721.03,35.91
2022060115,546.45,35.55
2022060116,368.1,34.47
2022060117,205.48,32.79
2022060118,68.5,30.61
2022060119,0.0,28.32
2022060120,0.0,27.05
2022060121,0.0,26.21
2022060122,0.0,25.57
2022060123,0.0,24.97
2022060200,0.0,24.52
2022060201,0.0,24.09
2022060202,0.0,23.57
2022060203,0.0,23.19
2022060204,0.0,23.03
2022060205,10.2,22.96
2022060206,113.28,24.71
2022060207,271.88,26.45
2022060208,444.95,28.63
2022060209,580.92,30.85
2022060210,751.85,32.25
2022060211,816.28,33.16
2022060212,828.05,33.84
2022060213,829.7,34.19
2022060214,755.38,34.08
2022060215,583.45,33.32
2022060216,403.88,32.29
2022060217,230.75,31.29
2022060218,79.53,29.5
2022060219,0.0,27.21
2022060220,0.0,26.17
2022060221,0.0,25.38
2022060222,0.0,24.68
2022060223,0.0,24.02
2022060300,0.0,23.38
2022060301,0.0,22.71
2022060302,0.0,22.23
2022060303,0.0,21.79
2022060304,0.0,21.34
2022060305,10.12,21.14
2022060306,127.07,22.47
2022060307,315.52,24.85
2022060308,519.4,27.27
2022060309,703.28,29.34
2022060310,855.38,30.99
2022060311,944.12,32.43
2022060312,973.33,33.54
2022060313,881.92,34.25
2022060314,667.3,34.61
2022060315,619.53,34.25
2022060316,457.0,33.38
2022060317,256.5,32.13
2022060318,84.43,30.0
2022060319,0.0,27.24
2022060320,0.0,26.32
2022060321,0.0,25.64
2022060322,0.0,24.92
2022060323,0.0,24.23
2022060400,0.0,23.73
2022060401,0.0,23.42
2022060402,0.0,23.27
2022060403,0.0,23.12
2022060404,0.0,22.97
2022060405,10.0,22.86
2022060406,106.55,23.28
2022060407,238.6,24.97
2022060408,380.27,27.06
2022060409,383.25,29.5
2022060410,482.4,31.75
2022060411,787.85,33.35
2022060412,961.72,34.14
2022060413,810.6,34.69
2022060414,619.53,34.48
2022060415,324.73,33.81
2022060416,93.7,33.11
2022060417,140.25,32.17
2022060418,49.95,30.62
2022060419,0.0,27.54
2022060420,0.0,26.4
2022060421,0.0,25.81
2022060422,0.0,25.21
2022060423,0.0,24.62
2022060500,0.0,24.09
2022060501,0.0,23.61
2022060502,0.0,23.26
2022060503,0.0,23.02
2022060504,0.0,22.75
2022060505,11.4,22.72
2022060506,127.57,24.46
2022060507,278.42,26.48
2022060508,433.25,28.51
2022060509,664.58,30.42
2022060510,781.17,32.13
2022060511,853.75,33.56
2022060512,913.22,34.54
2022060513,821.78,35.03
2022060514,729.0,35.11
2022060515,587.42,34.87
2022060516,432.98,34.27
2022060517,244.12,33.11
2022060518,84.1,31.17
2022060519,0.0,28.73
2022060520,0.0,27.29
2022060521,0.0,26.34
2022060522,0.0,25.65
2022060523,0.0,25.13
2022060600,0.0,24.73
2022060601,0.0,24.49
2022060602,0.0,24.37
2022060603,0.0,24.27
2022060604,0.0,24.27
2022060605,10.25,24.42
2022060606,110.75,25.67
2022060607,266.73,27.76
2022060608,442.92,29.9
2022060609,598.85,31.98
2022060610,759.03,33.9
2022060611,829.53,35.53
2022060612,787.6,36.8
2022060613,682.45,37.42
2022060614,665.83,37.36
2022060615,602.28,36.62
2022060616,427.0,35.27
2022060617,245.1,33.47
2022060618,84.35,31.31
2022060619,0.0,28.99
2022060620,0.0,27.61
2022060621,0.0,26.82
2022060622,0.0,26.32
2022060623,0.0,25.95
2022060700,0.0,25.59
2022060701,0.0,25.13
2022060702,0.0,24.88
2022060703,0.0,24.74
2022060704,0.0,24.63
2022060705,11.75,24.72
2022060706,144.05,26.04
2022060707,331.75,28.25
2022060708,521.5,30.64
2022060709,666.47,32.85
2022060710,837.5,34.93
2022060711,910.38,36.74
2022060712,967.85,38.11
2022060713,946.58,38.85
2022060714,836.25,38.88
2022060715,674.45,38.22
2022060716,470.05,36.91
2022060717,267.95,35.02
2022060718,94.6,32.54
2022060719,0.0,29.79
2022060720,0.0,28.13
2022060721,0.0,27.21
2022060722,0.0,26.69
2022060723,0.0,26.5
2022060800,0.0,26.45
2022060801,0.0,26.38
2022060802,0.0,26.21
2022060803,0.0,26.0
2022060804,0.0,25.71
2022060805,11.27,25.56
2022060806,112.62,26.86
2022060807,249.3,29.0
2022060808,404.65,31.28
2022060809,601.8,33.33
2022060810,766.38,35.26
2022060811,832.75,36.97
2022060812,848.08,38.31
2022060813,797.42,39.25
2022060814,701.72,39.73
2022060815,561.17,39.57
2022060816,395.45,38.7
2022060817,209.4,37.1
2022060818,67.75,34.44
2022060819,0.0,31.17
2022060820,0.0,29.32
2022060821,0.0,28.08
2022060822,0.0,27.34
2022060823,0.0,26.69
2022060900,0.0,26.05
2022060901,0.0,25.31
2022060902,0.0,24.74
2022060903,0.0,24.59
2022060904,0.0,24.8
2022060905,10.45,24.92
2022060906,126.45,26.7
2022060907,306.02,28.87
2022060908,489.05,31.23
2022060909,693.45,33.41
2022060910,827.65,35.3
2022060911,884.2,36.97
2022060912,926.7,38.27
2022060913,861.3,39.23
2022060914,784.12,39.71
2022060915,641.95,39.65
2022060916,468.45,38.96
2022060917,244.57,37.65
2022060918,79.07,35.32
2022060919,0.0,31.92
2022060920,0.0,29.97
2022060921,0.0,28.82
2022060922,0.0,28.04
2022060923,0.0,27.3
2022061000,0.0,26.73
2022061001,0.0,26.16
2022061002,0.0,25.52
2022061003,0.0,24.88
2022061004,0.0,24.25
2022061005,10.6,24.05
2022061006,113.2,26.32
2022061007,241.35,28.71
2022061008,406.02,31.31
2022061009,687.0,33.69
2022061010,814.92,35.57
2022061011,890.67,36.79
2022061012,946.38,37.61
2022061013,899.5,38.22
2022061014,832.4,38.63
2022061015,678.88,38.81
2022061016,492.38,38.48
2022061017,264.5,37.65
2022061018,91.3,35.84
2022061019,0.0,32.61
2022061020,0.0,30.7
2022061021,0.0,29.67
2022061022,0.0,28.58
2022061023,0.0,27.83
2022061100,0.0,27.31
2022061101,0.0,26.83
2022061102,0.0,26.38
2022061103,0.0,25.87
2022061104,0.0,25.32
2022061105,11.48,25.01
2022061106,143.05,26.59
2022061107,344.42,28.87
2022061108,558.62,31.54
2022061109,688.62,34.1
2022061110,833.0,36.28
2022061111,917.1,38.03
2022061112,945.22,39.4
2022061113,839.85,40.29
2022061114,733.2,40.76
2022061115,563.22,40.72
2022061116,355.67,40.16
2022061117,197.55,38.96
2022061118,69.8,36.36
2022061119,0.0,32.79
2022061120,0.0,31.2
2022061121,0.0,29.55
2022061122,0.0,28.25
2022061123,0.0,27.42
2022061200,0.0,26.76
2022061201,0.0,26.27
2022061202,0.0,25.95
2022061203,0.0,25.9
2022061204,0.0,25.97
2022061205,10.95,26.13
2022061206,134.0,27.19
2022061207,333.52,28.84
2022061208,546.55,30.66
2022061209,675.47,32.65
2022061210,857.6,34.64
2022061211,925.53,36.37
2022061212,971.85,37.81
2022061213,940.85,38.86
2022061214,832.3,39.35
2022061215,677.55,39.29
2022061216,487.27,38.61
2022061217,274.73,37.11
2022061218,96.7,34.73
2022061219,0.0,31.89
2022061220,0.0,29.96
2022061221,0.0,28.59
2022061222,0.0,27.7
2022061223,0.0,27.13
2022061300,0.0,26.77
2022061301,0.0,26.49
2022061302,0.0,26.27
2022061303,0.0,26.03
2022061304,0.0,25.85
2022061305,10.57,25.75
2022061306,132.12,27.01
2022061307,325.6,28.72
2022061308,527.75,30.75
2022061309,706.38,32.9
2022061310,848.08,34.96
2022061311,931.22,36.93
2022061312,951.75,38.54
2022061313,915.7,39.47
2022061314,815.25,39.49
2022061315,642.9,38.67
2022061316,446.42,37.17
2022061317,240.75,35.23
2022061318,82.88,33.07
2022061319,0.0,30.89
2022061320,0.0,29.44
2022061321,0.0,28.33
2022061322,0.0,27.52
2022061323,0.0,27.0
2022061400,0.0,26.65
2022061401,0.0,26.44
2022061402,0.0,26.3
2022061403,0.0,26.09
2022061404,0.0,25.92
2022061405,10.07,25.91
2022061406,113.9,27.1
2022061407,276.35,28.81
2022061408,473.27,30.83
2022061409,669.55,33.01
2022061410,825.15,35.12
2022061411,901.88,37.01
2022061412,886.15,38.07
2022061413,806.78,38.49
2022061414,723.2,38.25
2022061415,553.28,37.48
2022061416,394.55,36.26
2022061417,229.65,34.54
2022061418,78.03,32.52
2022061419,2.97,30.56
2022061420,0.0,29.24
2022061421,0.0,28.34
2022061422,0.0,27.83
2022061423,0.0,27.51
2022061500,0.0,27.26
2022061501,0.0,27.04
2022061502,0.0,26.89
2022061503,0.0,26.76
2022061504,0.0,26.57
2022061505,10.5,26.55
2022061506,107.5,27.69
2022061507,251.62,29.28
2022061508,412.17,30.94
2022061509,591.0,32.6
2022061510,742.35,34.55
2022061511,820.85,36.42
2022061512,835.08,37.83
2022061513,761.75,38.59
2022061514,709.78,38.7
2022061515,569.3,38.09
2022061516,429.1,36.95
2022061517,241.4,35.33
2022061518,81.7,33.27
2022061519,2.97,31.02
2022061520,0.0,29.58
2022061521,0.0,28.46
2022061522,0.0,27.61
2022061523,0.0,26.9
2022061600,0.0,26.3
2022061601,0.0,25.7
2022061602,0.0,25.1
2022061603,0.0,24.58
2022061604,0.0,24.41
2022061605,10.82,24.64
2022061606,132.1,26.25
2022061607,321.45,27.81
2022061608,518.28,29.19
2022061609,676.33,30.84
2022061610,826.0,32.63
2022061611,926.9,34.36
2022061612,978.97,36.0
2022061613,915.3,37.45
2022061614,798.35,38.33
2022061615,641.05,38.5
2022061616,441.8,37.9
2022061617,231.68,36.62
2022061618,78.57,34.17
