Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,21.42
2022060101,0.0,20.57
2022060102,0.0,20.05
2022060103,0.0,19.82
2022060104,0.0,19.75
2022060105,25.08,20.11
2022060106,141.85,21.35
2022060107,290.75,22.96
2022060108,479.52,24.75
2022060109,628.83,25.93
2022060110,682.25,26.86
2022060111,662.5,27.68
2022060112,744.5,28.28
2022060113,779.85,28.69
2022060114,643.03,28.67
2022060115,538.67,28.17
2022060116,297.62,27.41
2022060117,179.0,25.94
2022060118,81.38,24.4
2022060119,13.05,23.12
2022060120,0.0,22.36
2022060121,0.0,21.16
2022060122,0.0,18.9
2022060123,0.0,17.4
2022060200,0.0,17.09
2022060201,0.0,17.21
2022060202,0.0,17.03
2022060203,0.0,16.65
2022060204,0.0,16.32
2022060205,9.52,16.34
2022060206,55.25,17.55
2022060207,106.43,19.14
2022060208,174.07,19.59
2022060209,217.62,19.84
2022060210,263.25,20.26
2022060211,339.45,21.71
2022060212,361.2,22.83
2022060213,547.4,22.95
2022060214,685.05,22.46
2022060215,601.22,20.81
2022060216,427.67,19.41
2022060217,275.38,18.9
2022060218,124.07,18.33
2022060219,22.05,16.24
2022060220,0.0,14.68
2022060221,0.0,15.2
2022060222,0.0,15.82
2022060223,0.0,15.35
2022060300,0.0,14.42
2022060301,0.0,13.18
2022060302,0.0,11.87
2022060303,0.0,11.08
2022060304,0.0,10.93
2022060305,36.58,10.96
2022060306,199.38,13.39
2022060307,395.0,15.53
2022060308,588.45,18.23
2022060309,755.25,20.04
2022060310,885.72,21.23
2022060311,966.88,22.36
2022060312,992.97,23.27
2022060313,961.95,23.88
2022060314,842.67,24.17
2022060315,703.53,24.11
2022060316,535.85,24.0
2022060317,349.7,23.44
2022060318,169.57,21.38
2022060319,27.95,18.57
2022060320,0.0,16.9
2022060321,0.0,16.04
2022060322,0.0,14.64
2022060323,0.0,13.63
2022060400,0.0,12.91
2022060401,0.0,12.19
2022060402,0.0,11.51
2022060403,0.0,11.03
2022060404,0.0,10.84
2022060405,36.9,11.02
2022060406,194.8,12.91
2022060407,388.75,15.14
2022060408,594.15,17.22
2022060409,765.0,19.02
2022060410,892.67,20.7
2022060411,973.2,21.96
2022060412,997.8,22.7
2022060413,967.78,23.06
2022060414,876.97,23.06
2022060415,716.42,22.7
2022060416,503.08,22.11
2022060417,319.77,21.29
2022060418,151.4,19.53
2022060419,22.7,15.93
2022060420,0.0,13.89
2022060421,0.0,13.47
2022060422,0.0,12.55
2022060423,0.0,11.66
2022060500,0.0,11.27
2022060501,0.0,11.16
2022060502,0.0,10.97
2022060503,0.0,10.64
2022060504,0.0,10.44
2022060505,22.42,10.72
2022060506,123.2,12.17
2022060507,267.65,14.24
2022060508,423.73,17.3
2022060509,584.05,20.27
2022060510,669.7,22.0
2022060511,893.5,23.02
2022060512,954.0,23.81
2022060513,937.78,24.51
2022060514,822.45,24.89
2022060515,729.28,24.94
2022060516,535.0,24.8
2022060517,344.9,24.22
2022060518,163.4,22.45
2022060519,27.12,18.38
2022060520,0.0,16.33
2022060521,0.0,15.66
2022060522,0.0,15.5
2022060523,0.0,15.3
2022060600,0.0,14.68
2022060601,0.0,14.5
2022060602,0.0,14.77
2022060603,0.0,14.5
2022060604,0.0,14.33
2022060605,18.8,14.77
2022060606,83.5,16.28
2022060607,158.43,18.51
2022060608,263.42,20.82
2022060609,461.75,22.17
2022060610,510.1,21.96
2022060611,675.9,20.67
2022060612,754.75,20.61
2022060613,703.45,21.28
2022060614,558.55,22.27
2022060615,300.23,22.92
2022060616,294.17,22.46
2022060617,163.55,21.3
2022060618,76.22,20.2
2022060619,12.15,19.39
2022060620,0.0,19.05
2022060621,0.0,18.87
2022060622,0.0,18.78
2022060623,0.0,18.76
2022060700,0.0,18.66
2022060701,0.0,18.49
2022060702,0.0,18.45
2022060703,0.0,18.3
2022060704,0.0,17.88
2022060705,14.02,17.56
2022060706,75.47,18.09
2022060707,162.23,18.92
2022060708,267.2,20.21
2022060709,309.92,21.91
2022060710,422.1,23.2
2022060711,509.25,24.07
2022060712,552.7,24.69
2022060713,465.05,24.94
2022060714,506.17,24.85
2022060715,383.75,24.35
2022060716,347.92,22.88
2022060717,236.27,21.5
2022060718,129.82,20.63
2022060719,26.45,19.06
2022060720,0.0,17.02
2022060721,0.0,15.9
2022060722,0.0,15.24
2022060723,0.0,14.83
2022060800,0.0,14.61
2022060801,0.0,14.35
2022060802,0.0,13.97
2022060803,0.0,13.8
2022060804,0.0,13.5
2022060805,33.25,13.07
2022060806,179.85,14.54
2022060807,351.75,16.33
2022060808,537.55,19.29
2022060809,714.17,20.96
2022060810,781.1,22.37
2022060811,842.17,23.62
2022060812,829.4,24.53
2022060813,852.7,25.08
