Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,16.49
2022060101,0.0,16.06
2022060102,0.0,15.59
2022060103,0.0,15.1
2022060104,0.0,14.75
2022060105,127.4,17.31
2022060106,334.25,21.93
2022060107,554.03,25.38
2022060108,740.25,27.2
2022060109,904.58,28.7
2022060110,1011.5,30.05
2022060111,1041.07,31.13
2022060112,1026.15,31.98
2022060113,944.78,32.57
2022060114,807.75,32.65
2022060115,626.08,32.28
2022060116,415.3,31.42
2022060117,201.75,30.02
2022060118,28.4,25.57
2022060119,0.0,23.13
2022060120,0.0,22.43
2022060121,0.0,21.94
2022060122,0.0,21.7
2022060123,0.0,21.59
2022060200,0.0,21.4
2022060201,0.0,21.26
2022060202,0.0,21.12
2022060203,0.0,21.4
2022060204,0.0,21.61
2022060205,117.22,22.66
2022060206,311.6,25.2
2022060207,534.03,28.98
2022060208,719.83,30.94
2022060209,866.8,32.47
2022060210,969.3,33.73
2022060211,970.85,34.65
2022060212,983.35,35.26
2022060213,942.53,35.5
2022060214,794.05,35.1
2022060215,598.47,34.37
2022060216,382.38,33.22
2022060217,189.65,31.27
2022060218,25.52,27.17
2022060219,0.0,24.41
2022060220,0.0,23.17
2022060221,0.0,22.1
2022060222,0.0,20.99
2022060223,0.0,19.73
2022060300,0.0,18.3
2022060301,0.0,17.56
2022060302,0.0,17.15
2022060303,0.0,17.11
2022060304,0.0,16.4
2022060305,118.2,18.87
2022060306,311.17,22.7
2022060307,528.5,26.67
2022060308,699.92,29.13
2022060309,728.67,30.41
2022060310,789.5,31.13
2022060311,959.85,32.0
2022060312,986.03,33.25
2022060313,856.92,34.04
2022060314,761.95,33.92
2022060315,614.75,33.08
2022060316,396.67,31.36
2022060317,196.02,28.68
2022060318,26.55,25.11
2022060319,0.0,21.72
2022060320,0.0,19.46
2022060321,0.0,18.47
2022060322,0.0,18.19
2022060323,0.0,18.11
2022060400,0.0,17.91
2022060401,0.0,17.61
2022060402,0.0,16.8
2022060403,0.0,15.85
2022060404,0.0,15.24
2022060405,114.07,15.93
2022060406,292.23,18.93
2022060407,485.12,22.8
2022060408,691.3,26.6
2022060409,870.72,29.1
2022060410,968.45,31.1
2022060411,1009.1,32.56
2022060412,1008.53,33.26
2022060413,913.6,33.4
2022060414,797.83,32.79
2022060415,619.65,31.48
2022060416,394.58,29.47
2022060417,194.07,26.92
2022060418,26.08,23.93
2022060419,0.0,21.4
2022060420,0.0,19.96
2022060421,0.0,19.08
2022060422,0.0,18.42
2022060423,0.0,17.87
2022060500,0.0,17.47
2022060501,0.0,17.15
2022060502,0.0,16.77
2022060503,0.0,16.36
2022060504,2.92,15.94
2022060505,92.97,16.87
2022060506,261.1,19.91
2022060507,450.98,23.25
2022060508,665.92,26.86
2022060509,802.5,29.58
2022060510,916.6,31.85
2022060511,977.58,33.69
2022060512,984.58,34.92
2022060513,909.55,35.59
2022060514,760.2,35.58
2022060515,596.45,34.92
2022060516,400.55,33.61
2022060517,199.4,31.51
2022060518,30.05,28.4
2022060519,0.0,25.34
2022060520,0.0,22.99
2022060521,0.0,21.24
2022060522,0.0,20.31
2022060523,0.0,19.62
2022060600,0.0,18.98
2022060601,0.0,18.33
2022060602,0.0,17.73
2022060603,0.0,17.16
2022060604,3.55,16.71
2022060605,111.47,17.67
2022060606,315.58,20.88
2022060607,525.88,24.87
2022060608,710.03,29.1
2022060609,861.72,31.75
2022060610,964.3,33.59
2022060611,1012.28,35.08
2022060612,1001.17,36.15
2022060613,903.25,36.82
2022060614,782.92,36.91
2022060615,613.65,36.5
2022060616,410.0,35.57
2022060617,204.82,33.88
2022060618,31.38,30.29
2022060619,0.0,27.05
2022060620,0.0,25.49
2022060621,0.0,24.24
2022060622,0.0,23.07
2022060623,0.0,21.81
2022060700,0.0,20.75
2022060701,0.0,20.12
2022060702,0.0,19.6
2022060703,0.0,19.15
2022060704,3.55,18.87
2022060705,108.4,21.22
2022060706,305.73,24.44
2022060707,526.38,28.34
2022060708,711.85,30.47
2022060709,862.53,32.28
2022060710,960.55,33.85
2022060711,1003.95,35.06
2022060712,1001.15,35.89
2022060713,913.35,36.49
2022060714,780.42,36.66
2022060715,614.4,36.41
2022060716,409.88,35.62
2022060717,203.38,34.14
2022060718,32.35,30.45
2022060719,0.0,27.18
2022060720,0.0,25.55
2022060721,0.0,24.21
2022060722,0.0,23.18
2022060723,0.0,22.35
2022060800,0.0,21.73
2022060801,0.0,21.36
2022060802,0.0,21.17
2022060803,0.0,21.09
2022060804,3.72,21.18
2022060805,112.6,23.54
2022060806,311.45,27.11
2022060807,519.2,30.67
2022060808,703.28,32.48
2022060809,851.75,33.91
2022060810,945.9,35.17
2022060811,989.7,36.24
2022060812,999.45,37.09
2022060813,910.78,37.57
2022060814,787.25,37.53
2022060815,615.7,36.98
2022060816,412.67,35.96
2022060817,210.3,34.46
2022060818,33.85,31.41
