Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,24.69
2022060101,0.0,24.17
2022060102,0.0,23.49
2022060103,0.0,22.59
2022060104,0.0,21.4
2022060105,15.85,20.25
2022060106,178.1,22.33
2022060107,396.92,26.27
2022060108,611.22,30.13
2022060109,798.12,32.74
2022060110,943.6,34.39
2022060111,1034.45,35.64
2022060112,1052.22,36.65
2022060113,1020.53,37.39
2022060114,927.4,37.77
2022060115,780.42,37.69
2022060116,591.35,37.14
2022060117,376.5,36.09
2022060118,159.32,33.76
2022060119,11.2,29.1
2022060120,0.0,27.82
2022060121,0.0,27.23
2022060122,0.0,26.6
2022060123,0.0,25.84
2022060200,0.0,25.59
2022060201,0.0,24.66
2022060202,0.0,22.91
2022060203,0.0,21.4
2022060204,0.0,19.48
2022060205,15.98,18.49
2022060206,177.55,21.88
2022060207,395.8,25.72
2022060208,609.58,28.85
2022060209,796.1,31.96
2022060210,942.1,35.47
2022060211,1032.93,37.06
2022060212,1047.88,38.13
2022060213,1015.78,38.89
2022060214,922.3,39.23
2022060215,775.1,39.12
2022060216,585.97,38.54
2022060217,371.1,37.44
2022060218,156.32,34.99
2022060219,11.02,30.53
2022060220,0.0,29.4
2022060221,0.0,27.82
2022060222,0.0,25.85
2022060223,0.0,24.3
2022060300,0.0,23.31
2022060301,0.0,23.23
2022060302,0.0,23.18
2022060303,0.0,22.34
2022060304,0.0,20.66
2022060305,14.43,19.6
2022060306,162.82,22.93
2022060307,372.48,26.4
2022060308,583.28,29.42
2022060309,770.83,32.34
2022060310,917.25,34.85
2022060311,1010.53,36.7
2022060312,1032.47,38.09
2022060313,1003.83,39.0
2022060314,882.72,39.34
2022060315,561.75,38.95
2022060316,394.35,38.19
2022060317,256.23,37.16
2022060318,113.12,35.21
2022060319,10.2,30.68
2022060320,0.0,29.72
2022060321,0.0,28.6
2022060322,0.0,26.42
2022060323,0.0,24.73
2022060400,0.0,23.43
2022060401,0.0,22.57
2022060402,0.0,22.71
2022060403,0.0,23.09
2022060404,0.0,22.15
2022060405,15.73,20.78
2022060406,172.43,23.52
2022060407,384.3,27.07
2022060408,596.45,30.22
2022060409,778.78,32.53
2022060410,921.35,34.38
2022060411,1009.85,35.99
2022060412,1020.85,37.22
2022060413,933.9,38.07
2022060414,896.1,38.48
2022060415,724.92,38.48
2022060416,533.97,38.0
2022060417,323.38,37.01
2022060418,131.9,35.02
2022060419,9.68,30.29
2022060420,0.0,28.48
2022060421,0.0,27.35
2022060422,0.0,26.2
2022060423,0.0,24.99
2022060500,0.0,23.73
2022060501,0.0,22.57
2022060502,0.0,21.91
2022060503,0.0,21.61
2022060504,0.0,21.35
2022060505,14.12,21.24
2022060506,160.9,23.5
2022060507,370.45,26.87
2022060508,586.55,30.06
2022060509,769.3,32.53
2022060510,908.58,34.36
2022060511,994.92,35.88
2022060512,1012.08,37.13
2022060513,977.25,38.0
2022060514,887.67,38.55
2022060515,749.42,38.66
2022060516,571.85,38.24
2022060517,362.38,37.28
2022060518,155.1,35.63
2022060519,12.0,31.23
2022060520,0.0,29.32
2022060521,0.0,28.34
2022060522,0.0,27.4
2022060523,0.0,26.48
2022060600,0.0,25.51
2022060601,0.0,24.56
2022060602,0.0,24.01
2022060603,0.0,24.13
2022060604,0.0,24.2
2022060605,15.12,23.78
2022060606,167.77,25.77
2022060607,376.25,29.04
2022060608,583.33,31.93
2022060609,766.25,34.21
2022060610,908.35,36.0
2022060611,998.25,37.53
2022060612,1017.17,38.78
