Hour,Irradiance_Wm2,AmbientTemp_C
2022060100,0.0,12.03
2022060101,0.0,11.7
2022060102,0.0,11.31
2022060103,0.0,10.81
2022060104,6.95,10.63
2022060105,63.88,11.78
2022060106,146.52,13.36
2022060107,250.02,14.76
2022060108,332.65,16.49
2022060109,420.4,18.14
2022060110,466.67,18.67
2022060111,499.45,19.43
2022060112,480.12,19.91
2022060113,333.2,19.71
2022060114,278.42,20.5
2022060115,233.05,20.65
2022060116,153.43,20.06
2022060117,109.18,18.61
2022060118,59.0,17.52
2022060119,12.3,15.41
2022060120,0.0,14.15
2022060121,0.0,13.71
2022060122,0.0,13.18
2022060123,0.0,12.86
2022060200,0.0,12.64
2022060201,0.0,12.4
2022060202,0.0,11.95
2022060203,0.0,11.5
2022060204,8.05,11.44
2022060205,76.72,12.67
2022060206,163.8,14.45
2022060207,269.0,17.62
2022060208,374.48,19.54
2022060209,452.35,20.45
2022060210,547.7,21.5
2022060211,560.17,22.08
2022060212,519.78,22.37
2022060213,484.83,22.46
2022060214,378.8,22.15
2022060215,387.35,22.23
2022060216,265.65,21.72
2022060217,163.9,20.88
2022060218,78.05,20.11
2022060219,15.48,18.46
2022060220,0.0,17.01
2022060221,0.0,15.97
2022060222,0.0,14.97
2022060223,0.0,14.4
2022060300,0.0,14.01
2022060301,0.0,13.62
2022060302,0.0,12.98
2022060303,0.0,12.64
2022060304,5.43,12.66
2022060305,46.12,13.05
2022060306,106.97,13.27
2022060307,162.98,13.6
2022060308,221.5,14.01
2022060309,321.45,14.26
2022060310,398.6,14.81
2022060311,447.88,16.51
2022060312,441.6,17.71
2022060313,493.48,17.85
2022060314,496.88,17.44
2022060315,344.67,16.84
2022060316,201.48,16.2
2022060317,171.93,15.47
2022060318,87.15,14.55
2022060319,17.92,13.33
2022060320,0.0,12.23
2022060321,0.0,11.83
2022060322,0.0,11.47
2022060323,0.0,11.18
2022060400,0.0,11.09
2022060401,0.0,11.07
2022060402,0.0,11.11
2022060403,0.0,11.07
2022060404,5.43,11.06
2022060405,54.15,11.78
2022060406,130.62,12.76
2022060407,226.38,14.48
2022060408,322.23,15.75
2022060409,433.35,16.26
2022060410,474.83,16.1
2022060411,530.42,16.51
2022060412,458.15,17.77
2022060413,239.43,17.94
2022060414,216.85,17.09
2022060415,316.15,16.29
2022060416,171.32,15.72
2022060417,105.5,15.25
2022060418,59.75,15.0
2022060419,7.03,14.27
2022060420,0.0,13.78
2022060421,0.0,13.81
2022060422,0.0,13.77
2022060423,0.0,13.84
2022060500,0.0,13.64
2022060501,0.0,13.51
2022060502,0.0,13.56
2022060503,0.0,13.42
2022060504,5.93,13.3
2022060505,47.33,13.78
2022060506,112.03,14.46
2022060507,195.23,15.21
2022060508,299.85,15.77
2022060509,399.55,15.21
2022060510,438.33,14.7
2022060511,472.17,14.56
2022060512,483.35,15.48
2022060513,442.45,16.44
2022060514,453.58,16.61
2022060515,371.17,16.41
2022060516,259.42,15.76
2022060517,183.48,15.27
2022060518,95.03,14.37
2022060519,22.15,12.76
2022060520,0.0,10.96
2022060521,0.0,10.25
2022060522,0.0,9.63
2022060523,0.0,9.04
2022060600,0.0,8.59
2022060601,0.0,8.17
2022060602,0.0,7.76
2022060603,0.0,7.41
2022060604,6.7,7.45
2022060605,57.22,9.2
2022060606,142.77,10.5
2022060607,241.68,11.89
2022060608,383.58,13.53
2022060609,519.85,14.82
2022060610,544.15,15.55
2022060611,482.0,16.21
2022060612,434.75,16.58
2022060613,423.95,16.91
2022060614,397.85,16.68
2022060615,346.15,16.49
2022060616,249.48,16.28
2022060617,175.12,15.97
2022060618,104.97,15.27
2022060619,28.95,13.5
2022060620,0.0,11.79
2022060621,0.0,10.8
2022060622,0.0,10.1
2022060623,0.0,9.62
2022060700,0.0,9.09
2022060701,0.0,8.44
2022060702,0.0,8.7
2022060703,0.0,8.98
2022060704,11.65,8.29
2022060705,124.53,9.76
2022060706,288.75,11.71
2022060707,463.62,13.74
2022060708,624.67,15.8
2022060709,737.95,17.84
2022060710,832.08,19.79
2022060711,804.12,21.6
2022060712,640.03,22.11
2022060713,556.15,21.8
2022060714,478.85,22.16
2022060715,309.73,21.78
2022060716,176.62,20.09
2022060717,117.55,19.39
2022060718,68.28,18.6
2022060719,16.73,16.28
2022060720,0.0,14.81
2022060721,0.0,14.66
2022060722,0.0,14.39
2022060723,0.0,13.82
2022060800,0.0,13.26
2022060801,0.0,12.63
2022060802,0.0,11.68
2022060803,0.0,11.37
2022060804,9.18,11.48
2022060805,79.6,12.18
2022060806,178.12,12.82
2022060807,300.52,13.28
